"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
123,Jamaica,"129,441",,"2,941 ",,"82,875",,"43,625",,"43,372",985,"978,700","327,932"
124,Cameroon,"119,780",,"1,927 ",,"117,791",,62,13,"4,319",69,"1,751,774","63,158"
125,Angola,"99,194",,"1,900 ",,"97,149",,145,,"2,858",55,"1,499,795","43,212"
126,Malta,"90,399",+231,687 ,+3,"84,111",+590,"5,601",4,"203,756","1,548","1,870,483","4,216,009"
127,DRC,"87,023",,"1,337 ",,"50,930",,"34,756",,921,14,"846,704","8,963"
128,Senegal,"85,984",+2,"1,966 ",+1,"84,001",+2,17,1,"4,903",112,"1,063,849","60,657"
129,Malawi,"85,747",+4,"2,633 ",,"81,938",+4,"1,176",67,"4,283",132,"571,585","28,550"
130,Ivory Coast,"81,881",,799 ,,"81,057",,25,,"2,972",29,"1,493,433","54,198"
131,French Guiana,"80,422",,394 ,,"11,254",,"68,774",1,"257,246","1,260","622,646","1,991,658"
132,Suriname,"79,302",,"1,327 ",,"49,396",,"28,579",,"133,033","2,226","235,824","395,607"
133,Channel Islands,"73,609",,166 ,,"72,059",,"1,384",,"416,456",939,"1,252,808","7,087,983"
134,French Polynesia,"72,648",,648 ,,N/A,N/A,N/A,7,"255,952","2,283",,
135,Eswatini,"70,284",+31,"1,397 ",+1,"68,764",+34,123,11,"59,471","1,182","1,012,397","856,647"
136,Barbados,"67,256",+446,389 ,+1,"63,424",,"3,443",,"233,520","1,351","640,085","2,222,448"
137,Fiji,"64,524",,862 ,,"62,677",,985,,"71,050",949,"506,642","557,882"
138,Madagascar,"64,121",,"1,391 ",,"59,370",,"3,360",14,"2,213",48,"418,849","14,456"
139,Guyana,"63,407",,"1,228 ",,"62,088",,91,1,"79,919","1,548","589,800","743,389"
140,Sudan,"62,093",,"4,930 ",,N/A,N/A,N/A,,"1,359",108,"562,941","12,320"
141,New Caledonia,"60,457",,312 ,,"60,064",,81,9,"208,153","1,074","98,964","340,732"
142,Mauritania,"58,683",,982 ,,"57,693",,8,,"12,050",202,"799,187","164,111"
143,Belize,"57,419",,676 ,,"56,534",,209,6,"139,830","1,646","534,770","1,302,300"
144,Bhutan,"57,340",+737,20 ,,"52,774",+695,"4,546",3,"72,866",25,"2,279,630","2,896,898"
145,Cabo Verde,"56,004",+3,401 ,,"55,538",+1,65,23,"98,795",707,"400,982","707,360"
146,Syria,"55,792",,"3,150 ",,"52,078",,564,,"3,054",172,"146,269","8,007"
147,Taiwan,"51,298","+4,204",856 ,,"23,454",+278,"26,988",,"2,147",36,"14,214,319","594,879"
148,Gabon,"47,594",,303 ,,"47,280",,11,,"20,512",131,"1,591,228","685,772"
149,Papua New Guinea,"43,732",,649 ,,"43,025",,58,7,"4,727",70,"249,149","26,928"
150,Seychelles,"42,079",,165 ,,"41,260",,654,,"423,143","1,659",,
151,Curaçao,"41,652",,271 ,,"40,800",,581,3,"251,974","1,639","494,095","2,989,026"
152,Andorra,"41,013",,153 ,,"40,343",,517,14,"529,282","1,974","249,838","3,224,215"
153,Burundi,"38,887",+34,38 ,,773,,"38,076",,"3,104",3,"345,742","27,596"
154,Mauritius,"37,656",,990 ,,"35,656",,"1,010",,"29,521",776,"358,675","281,188"
155,Mayotte,"37,038",,187 ,,"2,964",,"33,887",,"130,107",657,"176,919","621,481"
156,Togo,"36,977",+4,273 ,,"36,679",,25,,"4,286",32,"727,740","84,344"
157,Guinea,"36,459",,440 ,,"35,976",,43,8,"2,647",32,"660,107","47,923"
158,Faeroe Islands,"34,658",,28 ,,"7,693",,"26,937",5,"704,460",569,"778,000","15,813,651"
159,Aruba,"34,589",,212 ,,"34,251",,126,2,"321,510","1,971","177,885","1,653,468"
160,Tanzania,"33,864",,803 ,,N/A,N/A,N/A,7,539,13,,
161,Bahamas,"33,446",,789 ,,"32,305",,352,11,"83,612","1,972","229,817","574,520"
162,Lesotho,"32,910",,697 ,,"24,155",,"8,058",,"15,146",321,"431,221","198,458"
163,Mali,"30,727",+11,731 ,,"29,795",+1,201,,"1,442",34,"663,805","31,162"
164,Haiti,"30,640",,835 ,,"29,389",,416,,"2,629",72,"132,422","11,364"
165,Isle of Man,"28,416",,87 ,,"26,794",,"1,535",,"331,019","1,013","150,753","1,756,127"
166,Benin,"26,952",,163 ,,"25,506",,"1,283",5,"2,123",13,"604,310","47,601"
167,Somalia,"26,485",,"1,350 ",,"13,182",,"11,953",,"1,587",81,"400,466","23,992"
168,Congo,"24,079",,385 ,,"20,178",,"3,516",,"4,178",67,"347,815","60,356"
169,Saint Lucia,"23,201",,368 ,,"22,721",,112,1,"125,316","1,988","142,501","769,693"
170,Timor-Leste,"22,860",,130 ,,"22,714",,16,,"16,763",95,"261,007","191,397"
171,Cayman Islands,"21,755",,26 ,,"8,553",,"13,176",1,"324,155",387,"222,773","3,319,372"
172,Burkina Faso,"20,853",,382 ,,"20,439",,32,,951,17,"248,995","11,351"
173,Nicaragua,"18,491",,225 ,,"4,225",,"14,041",,"2,733",33,,
174,Gibraltar,"17,706",,102 ,+1,"16,579",,"1,025",,"525,822","3,029","534,283","15,866,807"
175,South Sudan,"17,422",,138 ,,"13,514",,"3,770",1,"1,524",12,"376,391","32,929"
177,Liechtenstein,"17,091",+27,84 ,,"16,801",+50,206,,"445,949","2,192","102,174","2,665,988"
178,San Marino,"16,140",,114 ,,"15,662",,364,4,"473,870","3,347","149,271","4,382,590"
179,Equatorial Guinea,"15,907",,183 ,,"15,698",,26,5,"10,705",123,"310,972","209,269"
180,Djibouti,"15,611",,189 ,,"15,411",,11,,"15,397",186,"303,924","299,760"
181,CAR,"14,649",,113 ,,"6,859",,"7,677",2,"2,941",23,"81,294","16,321"
182,Grenada,"14,332",,220 ,,"13,872",,240,4,"126,314","1,939","147,982","1,304,231"
183,Bermuda,"13,143",,131 ,,"12,719",,293,,"212,453","2,118","866,313","14,003,734"
184,Solomon Islands,"12,437",,139 ,,"11,194",,"1,104",2,"17,340",194,"5,117","7,134"
185,Dominica,"12,011",,63 ,,"11,926",,22,,"166,109",871,"187,690","2,595,702"
186,Gambia,"11,995",,365 ,,"11,591",,39,,"4,724",144,"155,686","61,319"
187,Greenland,"11,971",,21 ,,"2,761",,"9,189",4,"210,209",369,"164,926","2,896,081"
188,Yemen,"11,818",,"2,148 ",,"9,001",,669,23,381,69,"265,253","8,554"
189,Monaco,"11,604",+27,54 ,,"11,362",+34,188,4,"291,976","1,359","54,960","1,382,885"
190,Saint Martin,"10,279",,63 ,,"1,399",,"8,817",7,"257,916","1,581","112,382","2,819,842"
191,Sint Maarten,"9,981",,86 ,,"9,836",,59,10,"228,122","1,966","62,056","1,418,326"
192,Eritrea,"9,733",,103 ,,"9,629",,1,,"2,678",28,"23,693","6,518"
193,Caribbean Netherlands,"9,592",,34 ,,"9,392",,166,,"359,763","1,275","30,126","1,129,923"
194,Tonga,"9,553",,11 ,,"8,306",,"1,236",,"88,573",102,"408,213","3,784,867"
195,Niger,"8,914",+6,309 ,,"8,507",+9,98,1,346,12,"249,026","9,658"
196,Guinea-Bissau,"8,185",,171 ,,"7,476",,538,6,"3,989",83,"132,611","64,632"
197,Comoros,"8,100",,160 ,,"7,933",,7,,"8,970",177,,
198,Sierra Leone,"7,681",,125 ,,N/A,N/A,N/A,,929,15,"259,958","31,437"
199,Antigua and Barbuda,"7,571",,135 ,,"7,402",,34,1,"76,175","1,358","18,901","190,170"
200,Liberia,"7,432",,294 ,,"5,747",,"1,391",2,"1,410",56,"139,824","26,523"
201,Chad,"7,396",,193 ,,"4,874",,"2,329",,428,11,"191,341","11,076"
202,Samoa,"7,185",,13 ,,"1,605",,"5,567",3,"35,784",65,"53,893","268,405"
203,Vanuatu,"6,793",+140,12 ,,"5,991",+92,790,5,"21,223",37,"24,976","78,032"
204,St. Vincent Grenadines,"6,771",,106 ,,"6,641",,24,,"60,686",950,"98,813","885,620"
205,British Virgin Islands,"6,296",,62 ,,N/A,N/A,N/A,1,"205,792","2,027","102,862","3,362,163"
206,Sao Tome and Principe,"5,953",,73 ,,"5,875",,5,,"26,283",322,"29,036","128,199"
207,Turks and Caicos,"5,941",,36 ,,"5,862",,43,4,"149,795",908,"478,593","12,067,094"
208,Saint Kitts and Nevis,"5,561",,43 ,,"5,517",,1,,"103,217",798,"65,141","1,209,069"
209,Cook Islands,"4,609",, ,,"3,973",,636,,"261,979",,"15,740","894,674"
210,St. Barth,"4,432",,6 ,,N/A,N/A,N/A,,"446,279",604,"78,646","7,919,243"
211,Palau,"4,396",,6 ,,"3,879",,511,1,"240,890",329,"45,500","2,493,287"
212,Kiribati,"3,076",,13 ,,"2,597",,466,3,"25,059",106,,
213,Anguilla,"2,731",,9 ,,"2,716",,6,4,"179,152",590,"51,382","3,370,638"
214,Saint Pierre Miquelon,"2,641",,1 ,,"2,449",,191,1,"459,864",174,"22,941","3,994,602"
216,Wallis and Futuna,454,,7 ,,438,,9,,"41,713",643,"20,508","1,884,234"
217,Montserrat,183,,2 ,,174,,7,,"36,622",400,"9,700","1,941,165"
218,Falkland Islands,128,, ,,N/A,N/A,N/A,,"34,954",,"8,632","2,357,182"
221,Marshall Islands,15,, ,,7,,8,,250,,,
224,Niue,8,, ,,7,,1,,"4,860",,,
228,China,"199,074","+2,988","4,686 ",+12,"163,726","+3,127","30,662",237,138,3,"160,000,000","111,163"
,Total:,"509,044,782","+534,417","6,241,619","+1,428","461,390,623","+499,564","41,412,540","42,703","65,305.7",800.7,,
